item_id,source_type,image_path,display_name,description,target_group,recommendation_role,normalized_category,product_family,normalized_color,color_detail,color_tone,normalized_pattern,section_theme,article_id,product_code,product_type_name,product_group_name,index_name,index_group_name,section_name,department_name,garment_group_name,image_relative_path
0176209023,catalog,data/processed/demo_images/017/0176209023.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,black,black,dark,solid,mens_outerwear,176209023,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209023.jpg
0176209025,catalog,data/processed/demo_images/017/0176209025.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,khaki green,greenish khaki,dark,solid,mens_outerwear,176209025,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209025.jpg
0176209033,catalog,data/processed/demo_images/017/0176209033.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,brown,yellowish brown,medium dusty,solid,mens_outerwear,176209033,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209033.jpg
0176209035,catalog,data/processed/demo_images/017/0176209035.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,grey,grey,medium dusty,melange,mens_outerwear,176209035,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209035.jpg
0176209039,catalog,data/processed/demo_images/017/0176209039.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,khaki green,greenish khaki,dark,solid,mens_outerwear,176209039,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209039.jpg
0176209040,catalog,data/processed/demo_images/017/0176209040.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,blue,dark blue,dark,solid,mens_outerwear,176209040,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209040.jpg
0176209044,catalog,data/processed/demo_images/017/0176209044.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,brown,dark yellow,medium dusty,solid,mens_outerwear,176209044,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209044.jpg
0176209046,catalog,data/processed/demo_images/017/0176209046.jpg,Mr Harrington w/hood,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",men,top,hoodie,upper_body,grey,dark grey,dark,solid,mens_outerwear,176209046,176209,Hoodie,Garment Upper body,Menswear,Menswear,Mens Outerwear,Jacket Street,Outdoor,017\0176209046.jpg
0382127019,catalog,data/processed/demo_images/038/0382127019.jpg,Roman running hood,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm.",men,top,hoodie,upper_body,black,black,dark,solid,sport,382127019,382127,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Bottoms,Jersey Fancy,038\0382127019.jpg
0382127027,catalog,data/processed/demo_images/038/0382127027.jpg,Roman running hood,"Running jacket in fast-drying, breathable functional fabric with a mesh-lined hood, zip down the front and zipped chest pocket. Ventilation holes under the arms, ribbing with thumbholes at the cuffs and a rounded hem. Slightly longer at the back. Reflective details. Unlined. Tight fit. Size of chest pocket 10x17.5 cm.",men,top,hoodie,upper_body,grey,grey,medium dusty,melange,sport,382127027,382127,Hoodie,Garment Upper body,Sport,Sport,Men H&M Sport,Men Sport Bottoms,Jersey Fancy,038\0382127027.jpg
